Cleaning_Method,Surface_Roughness_nm,Defect_Density_per_cm2,Etch_Rate_nm_per_min,Interface_Trap_Density_cm2_eV,Fixed_Oxide_Charge_C_per_cm2,Minority_Carrier_Lifetime_us,PN_Junction_Leakage_A_per_cm2,Gate_Oxide_Breakdown_MV_per_cm,Pit_Density_per_cm2
Piranha,1.4806987297072822,736336.6263463697,12.283437031780014,608764970659.5764,4.2932089878371476e-06,21.08027796079589,1.82516361439314e-08,7.840291658492405,556.7326009212737
SC-1,0.6476696664328974,612531.410377505,8.923013345291878,622060809704.6139,3.6605044502853067e-06,22.141866848243197,9.382684254428184e-09,10.41437718777197,475.1898671217307
HF Dip,0.6401927764913606,256831.15678411236,2.542743517377991,342933466874.8039,2.7563857582062498e-06,41.865117388252116,4.5771451043253377e-10,10.9201282276792,82.46153083350184
SC-1,1.141128162010153,504575.8517301446,9.438448449922499,653277921435.8457,6.469358769900285e-06,20.77473712848458,1.1890812598010869e-08,8.112214252369887,103.84070635521459
RCA-1,0.6460731833221484,338202.0375380078,10.585396457992909,241483341151.85468,2.715678195973984e-06,37.91580940324705,5.221629220322716e-09,9.695254870798221,317.24387584857584
Piranha,1.286328160536852,753836.5032988646,8.03028091336566,572887241317.0286,4.014515080185327e-06,12.441109449151181,1.712348119271816e-08,8.373636203932149,405.9948832691148
RCA-1,1.0264167623398135,385422.01035715366,6.6268210456132755,301189865284.62683,3.699467283068189e-06,29.69421090044262,5.735948948299358e-09,9.964221039801958,254.64373012210257
RCA-1,0.4663394596681372,234948.29743644368,4.547434795336646,314194091380.30023,3.6785752510333904e-06,16.958413224271645,5.925564511051549e-09,9.274161308493406,307.79180936942083
RCA-1,0.7663941830600535,266385.32882650173,9.999659386500376,334482731936.2724,3.4792697022909997e-06,18.010076908745972,2.5387300615831842e-09,10.155205753155183,150.2426468984327
UV/Ozone,0.26323623971022525,146262.53758751656,0.31904276836627277,192184576501.39795,2.762753619331282e-06,35.54464418382807,1.1885803055541205e-10,11.964721385408188,68.12479121349125
Piranha,1.0810559997959361,872887.7341981751,7.403697275932205,696685746258.1139,8.107328436189224e-06,18.891919655221255,1.0693285330160818e-08,8.229372173524004,1001.1940176814305
HF Dip,0.3295968886588165,123770.90009085598,2.4846983540790055,129612595693.1504,4.166172711389576e-06,37.10466713468177,7.010180754236969e-10,12.346059418536269,268.44118331475397
Piranha,1.0777595542054477,654409.3065529891,13.038938612970048,398238162859.7655,4.899846233723349e-06,14.52310359845727,1.732233631999034e-08,5.427973475321887,602.5094417825629
RCA-1,0.7162666119693153,323859.0539364845,10.652771793374061,244434571221.49075,3.880292367737863e-06,26.5187715862269,8.698527456958683e-09,10.537835805609948,361.11927543616656
RCA-1,1.00159316293774,234542.32309370468,8.165419871595823,196715323572.24182,3.47111661454732e-06,20.55847187499267,5.395285276292286e-09,10.331119981314046,479.5982970964141
Piranha,1.6708384644788274,798332.2040643375,13.611425754770103,427410974111.912,6.325498601294502e-06,12.23758750306054,1.5910802142464502e-08,6.185323224376701,1149.2227564867094
HF Dip,0.4303234011802931,215167.1153978799,1.9905312908945143,158559016527.57306,3.4798569870989443e-06,55.49898837421691,1.1755485666125543e-09,11.446781791645451,311.26731072266386
Piranha,1.1390868123559013,778145.1215010824,7.478014201991085,506718401308.54584,7.339126144947695e-06,20.3578120661917,9.395398091665107e-09,8.509294950593977,872.3272612761534
HF Dip,0.4159172290854324,93899.12595280333,2.1702086412381703,243754501444.6079,2.3469877051206856e-06,19.855548868273537,7.35408923463552e-10,11.49414987230103,121.31217264117141
UV/Ozone,0.37319824543134783,77223.37482413284,0.5034958318050113,82300304437.3258,1.3125243532909904e-06,43.5638159716711,1.1170157611221337e-11,12.312615725513593,1.9382703317975682
Piranha,1.4046188412908451,838792.013208408,8.785244649958601,533812526564.8183,5.601103448497548e-06,22.378065961673844,1.7463344340707677e-08,8.585191314989732,506.04307625455215
UV/Ozone,0.32278507662917844,105196.79561391774,0.33408576267266765,124637969570.78986,2.045056395491904e-06,40.024324611619576,5.9998089280262e-11,12.103537787027303,65.70389081567845
SC-1,1.0104450009100832,365842.08460512676,14.148827003381967,538691283834.23206,3.667546820514693e-06,22.519087422047157,1.5164578394725104e-08,8.87777637381324,866.5275714734007
Piranha,1.1835667131677496,809221.468971111,13.268872860765208,694359355453.0771,5.440297083916868e-06,11.222214976326999,1.753970184078471e-08,7.979575503366271,694.7879338887705
RCA-1,0.5722956950674801,148556.41395807004,6.429826937173458,171576474677.78143,5.145472181906873e-06,14.46247901401913,7.279906787280584e-09,9.50626725345196,33.666211249161165
Piranha,0.9204486316377902,821347.9992108934,9.087488051315821,573931771964.2606,6.6360201078678e-06,7.4161875022881025,2.194811247183388e-08,7.606790117825007,725.7668825769416
