Cleaning_Method,Surface_Roughness_nm,Defect_Density_per_cm2,Etch_Rate_nm_per_min,Interface_Trap_Density_cm2_eV,Fixed_Oxide_Charge_C_per_cm2,Minority_Carrier_Lifetime_us,PN_Junction_Leakage_A_per_cm2,Gate_Oxide_Breakdown_MV_per_cm,Pit_Density_per_cm2,Damage_Prob,Pass_Fail
Piranha,1.5461233470300493,749447.8652679978,11.518946090392197,640848646489.0352,4.3927279806637585e-06,21.539300574050028,1.9843031715182787e-08,7.754828255913363,582.5644982623566,0.759727875193062,Fail
SC-1,0.6625105708347514,633578.5755833167,8.069227901189812,633513145893.2435,3.959654062093689e-06,21.048928423668645,8.666307021081417e-09,10.483735819826533,481.9227566998627,0.5324153285978819,Fail
HF Dip,0.6764919023170454,246871.72828049047,2.5657517698728554,340628046625.20905,2.8003716361306857e-06,39.58734304746363,5.47057051146784e-10,10.580047348056214,106.40934422985035,0.25542189567716467,Pass
SC-1,1.2242377025825018,507045.3172328701,8.960492584582264,658344987915.3276,6.653753124085034e-06,19.941453860543056,1.1783742050216584e-08,7.947928933935923,142.05290287690292,0.5309661960652188,Fail
RCA-1,0.7153365853481318,343580.2072276246,10.545094482939342,217100398150.00867,2.433625090700262e-06,35.54527243887156,6.2855484126950585e-09,9.639102222387663,268.59437230613247,0.3175879478564173,Pass
Piranha,1.250083186596554,758587.9943891256,7.679255754030417,564958644092.6278,4.129251255788028e-06,13.662887012601104,1.6919631635314534e-08,8.623252790585255,385.73702567390734,0.692908998597465,Fail
RCA-1,1.0616533420714132,398175.04565635725,6.242419243357664,302906592367.0069,3.7043975860177203e-06,33.386689216158494,4.733803647297754e-09,9.921361549727182,218.34387791209687,0.3520329804445846,Pass
RCA-1,0.46072597123931897,192072.6673627324,4.307629942710233,316196147248.1341,3.8027006768005714e-06,18.458021468814746,4.63637582628875e-09,9.248500345382347,270.1178192347513,0.32158690226867814,Pass
RCA-1,0.7625660348225449,265222.12184895866,10.350548156546688,303660784649.2666,3.6200527561825322e-06,17.593271472698746,2.5677391025732404e-09,9.880358961002143,120.41134309309788,0.33989015619925317,Pass
UV/Ozone,0.2784643875166236,151899.65455709342,0.7824215230086995,198781909044.6333,2.396665668202095e-06,35.569403870235554,1.1085843475459024e-09,11.9491924820026,70.62421037109065,0.16760521949760226,Pass
